[WARN] 2016-06-30 15:16:14,716 [main] - Application running in debug mode.
[INFO] 2016-06-30 15:16:14,766 [main] - Loading games.
[INFO] 2016-06-30 15:16:14,766 [main] - Game 'Missing data !' has successfully loaded.
[INFO] 2016-06-30 15:16:14,766 [main] - Core has successfully started...
[WARN] 2016-06-30 15:16:59,854 [main] - Application running in debug mode.
[INFO] 2016-06-30 15:16:59,857 [main] - Loading games.
[INFO] 2016-06-30 15:16:59,862 [main] - Game 'Lynx Demo' has successfully loaded.
[INFO] 2016-06-30 15:16:59,862 [main] - Core has successfully started...
[WARN] 2016-06-30 15:18:36,704 [main] - Application running in debug mode.
[INFO] 2016-06-30 15:18:36,704 [main] - Loading games.
[INFO] 2016-06-30 15:18:36,704 [main] - Game 'Lynx Demo' has successfully loaded.
[INFO] 2016-06-30 15:18:36,704 [main] - Core has successfully started...
[WARN] 2016-06-30 15:27:44,634 [main] - Application running in debug mode.
[INFO] 2016-06-30 15:27:44,634 [main] - Loading games.
[INFO] 2016-06-30 15:27:44,644 [main] - Game 'Lynx Demo' has successfully loaded.
[INFO] 2016-06-30 15:27:44,644 [main] - Core has successfully started...
[WARN] 2016-06-30 15:27:58,292 [main] - Application running in debug mode.
[INFO] 2016-06-30 15:27:58,292 [main] - Loading games.
[INFO] 2016-06-30 15:27:58,302 [main] - Game 'Lynx Demo' has successfully loaded.
[INFO] 2016-06-30 15:27:58,302 [main] - Core has successfully started...
[WARN] 2016-06-30 15:29:20,603 [main] - Application running in debug mode.
[INFO] 2016-06-30 15:29:20,603 [main] - Loading games.
[INFO] 2016-06-30 15:29:20,603 [main] - Game 'Lynx Demo' has successfully loaded.
[INFO] 2016-06-30 15:29:20,603 [main] - Core has successfully started...
